Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,28,18,7,3,56,21,35,61,2.18,W W D D W,60213,Viktor Gyökeres - 10,David Raya,
2,Manchester City,27,17,5,5,56,25,31,56,2.07,W D W W W,52215,Erling Haaland - 22,Gianluigi Donnarumma,
3,Aston Villa,27,15,6,6,38,28,10,51,1.89,W L D W D,41803,"Ollie Watkins, Morgan Rogers - 8",Emiliano Martínez,
4,Manchester Utd,27,13,9,5,48,37,11,48,1.78,W W W D W,73962,Bryan Mbeumo - 9,Senne Lammens,
5,Chelsea,27,12,9,6,48,31,17,45,1.67,W W W D D,39596,João Pedro - 11,Robert Sánchez,
6,Liverpool,27,13,6,8,42,35,7,45,1.67,L W L W W,60372,Hugo Ekitike - 10,Alisson,
7,Brentford,27,12,4,11,40,37,3,40,1.48,L W W D L,17103,Thiago - 17,Caoimhín Kelleher,
8,Bournemouth,27,9,11,7,43,45,-2,38,1.41,W W D W D,11166,Antoine Semenyo - 10,Đorđe Petrović,
9,Everton,27,10,7,10,29,31,-2,37,1.37,D D W L L,52121,"Kiernan Dewsbury-Hall, Iliman Ndiaye... - 5",Jordan Pickford,
10,Fulham,27,11,4,12,38,41,-3,37,1.37,W L L L W,27094,"Raúl Jiménez, Harry Wilson - 8",Bernd Leno,
11,Newcastle United,27,10,6,11,38,39,-1,36,1.33,L L L W L,52053,Bruno Guimarães - 9,Nick Pope,
12,Sunderland,27,9,9,9,28,33,-5,36,1.33,L W L L L,46382,Brian Brobbey - 5,Robin Roefs,
13,Crystal Palace,27,9,8,10,29,32,-3,35,1.3,L D W L W,24966,Jean-Philippe Mateta - 8,Dean Henderson,
14,Brighton,27,8,10,9,36,34,2,34,1.26,L D L L W,31319,Danny Welbeck - 9,Bart Verbruggen,
15,Leeds United,27,7,10,10,37,46,-9,31,1.15,D L W D D,36714,Dominic Calvert-Lewin - 10,Lucas Perri,
16,Tottenham Hotspur,27,7,8,12,37,41,-4,29,1.07,D D L L L,60950,Richarlison - 7,Guglielmo Vicario,
17,Nottingham Forest,27,7,6,14,25,39,-14,27,1.0,W D L D L,30471,Morgan Gibbs-White - 6,Matz Sels,
18,West Ham United,27,6,7,14,32,49,-17,25,0.93,W L W D D,62454,Jarrod Bowen - 8,Alphonse Areola,
19,Burnley,27,4,7,16,29,52,-23,19,0.7,D L L W D,21140,"Zian Flemming, Jaidon Anthony - 6",Martin Dúbravka,
20,Wolves,28,1,7,20,18,51,-33,10,0.36,L L D D L,29798,"Hwang Hee-chan, Santiago Bueno... - 2",José Sá,
